total_cup_points,country_of_origin,altitude_mean_meters,latitude,longitude,country_cup_points_avg,avg_altitude_per_country,quality_category,country_entry_counts
90.58,Ethiopia,2075.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
89.92,Ethiopia,2075.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
89.75,Guatemala,1700.0,15.5,-90.25,82.02422077922077,1440.7324207792208,Medium Quality,154
89.0,Ethiopia,2000.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
88.83,Ethiopia,2075.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
88.67,Ethiopia,1635.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
88.42,Ethiopia,1635.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
88.25,Ethiopia,1822.5,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
88.08,Ethiopia,1905.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
87.92,United States,1872.0,38.0,-97.0,84.433,1866.8880000000001,Medium Quality,10
87.92,United States,1943.0,38.0,-97.0,84.433,1866.8880000000001,Medium Quality,10
87.92,United States,609.6,38.0,-97.0,86.96000000000001,518.1600000000001,High Quality,2
87.83,Ethiopia,1635.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
87.58,United States,2080.0,38.0,-97.0,84.433,1866.8880000000001,Medium Quality,10
87.42,Indonesia,1500.0,-5.0,120.0,82.90235294117646,1363.235294117647,Medium Quality,17
87.25,China,1450.0,35.0,105.0,82.9275,1463.125,Medium Quality,16
87.25,Ethiopia,1850.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
87.25,United States,2019.0,38.0,-97.0,84.433,1866.8880000000001,Medium Quality,10
87.17,Costa Rica,1300.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
87.17,Mexico,1320.0,23.0,-102.0,80.86306034482759,1235.3620689655172,Medium Quality,232
87.08,United States,2112.0,38.0,-97.0,84.433,1866.8880000000001,Medium Quality,10
86.92,Brazil,1250.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
86.83,Uganda,1950.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
86.67,Honduras,1400.0,15.0,-86.5,80.8322,1425.92,Medium Quality,50
86.58,Taiwan,1200.0,23.5,121.0,81.94771428571428,729.2714285714286,Medium Quality,70
86.42,Brazil,1300.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
86.33,Costa Rica,1300.0,10.0,-84.0,82.8004347826087,1380.1347826086956,Medium Quality,46
86.25,Ethiopia,1775.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
86.25,Kenya,1800.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
86.17,United States,1941.0,38.0,-97.0,84.433,1866.8880000000001,Medium Quality,10
86.17,Thailand,1300.0,15.0,100.0,82.42999999999999,1094.99208,Medium Quality,20
86.17,Brazil,12.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
86.17,Brazil,12.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
86.08,Taiwan,1000.0,23.5,121.0,81.94771428571428,729.2714285714286,Medium Quality,70
86.08,Kenya,1754.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
86.08,Brazil,1250.0,-10.0,-55.0,82.71144230769231,920.7788461538462,Medium Quality,104
86.0,Colombia,1200.0,4.0,-72.0,83.23040268456376,1570.4429530201342,Medium Quality,149
86.0,Kenya,1860.0,1.0,38.0,84.27130434782609,1502.3478260869565,Medium Quality,23
86.0,Uganda,1650.0,1.0,32.0,83.38294117647058,1590.8235294117646,Medium Quality,34
86.0,Ethiopia,1750.0,8.0,38.0,85.91633333333333,1800.3006666666665,High Quality,30
86.0,United States,426.72,38.0,-97.0,86.96000000000001,518.1600000000001,High Quality,2
